jahr;ort;bfsnr;rubrik;thema;wert;einheit
2021;Knonau;7;ARA;Wärme;270;MWh
2021;Küsnacht (Erlenbach);154;ARA;Wärme;1500;MWh
2021;Meilen;156;ARA;Wärme;1155;MWh
2021;Männedorf (Bluemax);155;ARA;Wärme;1123;MWh
2021;Mönchaltorf;196;ARA;Wärme;745;MWh
2021;Regensdorf (Wüeri);96;ARA;Wärme;1772;MWh
2021;Thalwil;141;ARA;Wärme;2281;MWh
2021;Uster;198;ARA;Wärme;3744;MWh
2021;Winterthur (Hard);230;ARA;Wärme;400;MWh
2021;Wädenswil (Rietliau);293;ARA;Wärme;700;MWh
2021;Zürich (Werdhölzli);261;ARA;Wärme;58175;MWh
2022;Adliswil (Grütpark);131;ARA;Wärme;937;MWh
2022;Bassersdorf (Eich);52;ARA;Wärme;1305;MWh
2022;Bülach;53;ARA;Wärme;700;MWh
2022;Dietikon (Limmatfeld);243;ARA;Wärme;6172;MWh
2022;Dübendorf (Neugut);191;ARA;Wärme;7800;MWh
2022;Effretikon (Mannenberg);296;ARA;Wärme;1348;MWh
2022;Egg (Oetwil Esslingen);192;ARA;Wärme;715;MWh
2022;Fehraltorf (Russikon);172;ARA;Wärme;100;MWh
2022;Gossau (Grüningen);115;ARA;Wärme;300;MWh
2022;Horgen (Oberrieden);295;ARA;Wärme;1829;MWh
2022;Knonau;7;ARA;Wärme;270;MWh
2022;Küsnacht (Erlenbach);154;ARA;Wärme;1500;MWh
2022;Meilen;156;ARA;Wärme;1057;MWh
2022;Männedorf (Bluemax);155;ARA;Wärme;1014;MWh
2022;Mönchaltorf;196;ARA;Wärme;554;MWh
2022;Regensdorf (Wüeri);96;ARA;Wärme;1470;MWh
2022;Thalwil;141;ARA;Wärme;1901;MWh
2022;Uster;198;ARA;Wärme;3387;MWh
2022;Winterthur (Hard);230;ARA;Wärme;400;MWh
2022;Wädenswil (Rietliau);293;ARA;Wärme;700;MWh
2022;Zürich (Werdhölzli);261;ARA;Wärme;50057;MWh
2023;Adliswil (Grütpark);131;ARA;Wärme;958;MWh
2023;Bassersdorf (Eich);52;ARA;Wärme;560;MWh
2023;Bülach;53;ARA;Wärme;700;MWh
2023;Dietikon (Limmatfeld);243;ARA;Wärme;6172;MWh
2023;Dübendorf (Neugut);191;ARA;Wärme;7800;MWh
2023;Effretikon (Mannenberg);296;ARA;Wärme;1214;MWh
2023;Egg (Oetwil Esslingen);192;ARA;Wärme;715;MWh
2023;Fehraltorf (Russikon);172;ARA;Wärme;100;MWh
2023;Gossau (Grüningen);115;ARA;Wärme;300;MWh
2023;Horgen (Oberrieden);295;ARA;Wärme;1931;MWh
2023;Knonau;7;ARA;Wärme;270;MWh
2023;Küsnacht (Erlenbach);154;ARA;Wärme;1500;MWh
2023;Meilen;156;ARA;Wärme;1060;MWh
2023;Männedorf (Bluemax);155;ARA;Wärme;1157;MWh
2023;Mönchaltorf;196;ARA;Wärme;622;MWh
2023;Regensdorf (Wüeri);96;ARA;Wärme;1472;MWh
2023;Thalwil;141;ARA;Wärme;508;MWh
2023;Uster;198;ARA;Wärme;3218;MWh
2023;Winterthur (Hard);230;ARA;Wärme;400;MWh
2023;Wädenswil (Rietliau);293;ARA;Wärme;700;MWh
2023;Zürich (Werdhölzli);261;ARA;Wärme;50057;MWh
2024;Adliswil (Grütpark);131;ARA;Wärme;1011;MWh
2024;Bassersdorf (Eich);52;ARA;Wärme;907;MWh
2024;Bülach;53;ARA;Wärme;700;MWh
2024;Dietikon (Limmatfeld);243;ARA;Wärme;5915;MWh
2024;Dübendorf (Neugut);191;ARA;Wärme;7800;MWh
2024;Effretikon (Mannenberg);296;ARA;Wärme;1230;MWh
2024;Egg (Oetwil Esslingen);192;ARA;Wärme;715;MWh
2024;Fehraltorf (Russikon);172;ARA;Wärme;100;MWh
2024;Gossau (Grüningen);115;ARA;Wärme;300;MWh
2024;Horgen (Oberrieden);295;ARA;Wärme;1911;MWh
2024;Knonau;7;ARA;Wärme;270;MWh
2024;Küsnacht (Erlenbach);154;ARA;Wärme;1500;MWh
2024;Meilen;156;ARA;Wärme;1056;MWh
2024;Männedorf (Bluemax);155;ARA;Wärme;1006;MWh
2024;Mönchaltorf;196;ARA;Wärme;673;MWh
2024;Regensdorf (Wüeri);96;ARA;Wärme;1404;MWh
2024;Thalwil;141;ARA;Wärme;1116;MWh
2024;Uster (Prioritätsgebiet 2);198;ARA;Wärme;2402;MWh
2024;Uster (Prioritätsgebiet 1);198;ARA;Wärme;836;MWh
2024;Winterthur (Hard);230;ARA;Wärme;400;MWh
2024;Wädenswil (Rietliau);293;ARA;Wärme;700;MWh
