jahr;anlage;ort;bfsnr;rubrik;thema;wert;einheit;betrieb
2020;d0226;Kilchberg (ZH);135;Oberflächengewässer;Wärme;280;kW;Ja
2020;d0230;Thalwil;141;Oberflächengewässer;Wärme;372;kW;Ja
2020;d0234;Wädenswil;293;Oberflächengewässer;Wärme;125;kW;Ja
2020;d0236;Horgen;295;Oberflächengewässer;Wärme;604;kW;Ja
2020;d0239;Horgen;295;Oberflächengewässer;Wärme;334;kW;Ja
2020;d0242;Thalwil;141;Oberflächengewässer;Wärme;0;kW;Nein
2020;d0243;Horgen;295;Oberflächengewässer;Wärme;50;kW;ja
2020;d0246;Horgen;295;Oberflächengewässer;Wärme;0;kW;ja
2020;d0287;Wädenswil;293;Oberflächengewässer;Wärme;41;kW;Ja
2020;e0100;Küsnacht (ZH);154;Oberflächengewässer;Wärme;522;kW;Ja
2020;e0132;Meilen;156;Oberflächengewässer;Wärme;0;kW;Ja
2020;e0141;Stäfa;158;Oberflächengewässer;Wärme;23;kW;Ja
2020;e0143;Zollikon;161;Oberflächengewässer;Wärme;37;kW;Ja
2020;e0163;Männedorf;155;Oberflächengewässer;Wärme;26;kW;Ja
2020;e0165;Meilen;156;Oberflächengewässer;Wärme;130;kW;Ja
2020;e0170;Männedorf;155;Oberflächengewässer;Wärme;25;kW;Ja
2020;e0172;Stäfa;158;Oberflächengewässer;Wärme;0;kW;Ja
2020;e0174;Meilen;156;Oberflächengewässer;Wärme;105;kW;Ja
2020;e0187;Küsnacht (ZH);154;Oberflächengewässer;Wärme;136;kW;Ja
2020;e0192;Männedorf;155;Oberflächengewässer;Wärme;500;kW;Ja
2020;e0193;Männedorf;155;Oberflächengewässer;Wärme;208;kW;Ja
2020;e0194;Meilen;156;Oberflächengewässer;Wärme;67;kW;Ja
2020;e0201;Meilen;156;Oberflächengewässer;Wärme;227;kW;Ja
2020;e0204;Uetikon am See;159;Oberflächengewässer;Wärme;0;kW;Ja
2020;e0206;Hombrechtikon;153;Oberflächengewässer;Wärme;26;kW;Ja
2020;e0212;Meilen;156;Oberflächengewässer;Wärme;0;kW;Nein
2020;g0096;Dübendorf;191;Oberflächengewässer;Wärme;0;kW;Ja
2020;g0128;Dübendorf;191;Oberflächengewässer;Wärme;250;kW;Ja
2020;g0139;Dübendorf;191;Oberflächengewässer;Wärme;573;kW;Ja
2020;h0123;Pfäffikon;177;Oberflächengewässer;Wärme;0;kW;Ja
2020;h0160;Pfäffikon;177;Oberflächengewässer;Wärme;279;kW;Ja
2020;h0165;Pfäffikon;177;Oberflächengewässer;Wärme;230;kW;Ja
2020;h0166;Pfäffikon;177;Oberflächengewässer;Wärme;187.2;kW;Ja
2020;h0167;Pfäffikon;177;Oberflächengewässer;Wärme;680;kW;Ja
2020;h0352;Pfäffikon;177;Oberflächengewässer;Wärme;0;kW;Ja
2020;k0087;Rheinau;38;Oberflächengewässer;Wärme;0;kW;Ja
