jahr;bfsnr;ort;anlage;rubrik;thema;wert;einheit
2019;;Hinwil;KEZO Hinwil;KVA;Stromabsatz;108743;MWh
2019;;Zürich;ERZ Josefstrasse;KVA;Stromabsatz;31655;MWh
2019;;Zürich;ERZ Hagenholz;KVA;Stromabsatz;103211;MWh
2019;;Winterthur;KVA Winterthur;KVA;Stromabsatz;108015;MWh
2019;;Dietikon;KV Limeco;KVA;Stromabsatz;42661;MWh
2019;;Horgen;KVA Horgen;KVA;Stromabsatz;18776;MWh
2020;;Hinwil;KEZO Hinwil;KVA;Stromabsatz;111906;MWh
2020;;Zürich;ERZ Josefstrasse;KVA;Stromabsatz;31175;MWh
2020;;Zürich;ERZ Hagenholz;KVA;Stromabsatz;103405;MWh
2020;;Winterthur;KVA Winterthur;KVA;Stromabsatz;105548;MWh
2020;;Dietikon;KV Limeco;KVA;Stromabsatz;46329;MWh
2020;;Horgen;KVA Horgen;KVA;Stromabsatz;19585;MWh
2021;;Hinwil;KEZO Hinwil;KVA;Stromabsatz;111731;MWh
2021;;Zürich;ERZ Hagenholz;KVA;Stromabsatz;72813;MWh
2021;;Winterthur;KVA Winterthur;KVA;Stromabsatz;93862;MWh
2021;;Dietikon;KV Limeco;KVA;Stromabsatz;44043;MWh
2021;;Horgen;KVA Horgen;KVA;Stromabsatz;18439;MWh
2022;;Hinwil;KEZO Hinwil;KVA;Stromabsatz;99304;MWh
2022;;Zürich;ERZ Hagenholz;KVA;Stromabsatz;54709;MWh
2022;;Winterthur;KVA Winterthur;KVA;Stromabsatz;87932;MWh
2022;;Dietikon;KV Limeco;KVA;Stromabsatz;41465;MWh
2022;;Horgen;KVA Horgen;KVA;Stromabsatz;18602;MWh
2001;117;Hinwil;KEZO Hinwil;KVA;Dampfproduktion;543657;MWh
2001;261;Zürich;ERZ Josefstrasse;KVA;Dampfproduktion;348952;MWh
2001;261;Zürich;ERZ Hagenholz;KVA;Dampfproduktion;414963;MWh
2001;230;Winterthur;KVA Winterthur;KVA;Dampfproduktion;409930;MWh
2001;243;Dietikon;KV Limeco;KVA;Dampfproduktion;289683;MWh
2001;295;Horgen;KVA Horgen;KVA;Dampfproduktion;158463;MWh
2002;117;Hinwil;KEZO Hinwil;KVA;Dampfproduktion;678803;MWh
2002;261;Zürich;ERZ Josefstrasse;KVA;Dampfproduktion;387818;MWh
2002;261;Zürich;ERZ Hagenholz;KVA;Dampfproduktion;434313;MWh
