jahr;ort;bfsnr;anlage;rubrik;thema;wert;einheit
2021;Volketswil;199;Gutenswil;Biogene Abfälle;Wärme;650.94;MWh
2021;Wädenswil;293;Wädenswil;Biogene Abfälle;Wärme;1091.322;MWh
2022;Bachenbülach;51;Bachenbülach;Biogene Abfälle;Wärme;10841.4;MWh
2022;Oetwil am See;157;Oetwil am See;Biogene Abfälle;Wärme;12238.47;MWh
2022;Otelfingen;94;Otelfingen;Biogene Abfälle;Wärme;6429.03;MWh
2022;Ottenbach;11;Ottenbach;Biogene Abfälle;Wärme;7377.51;MWh
2022;Richterswil;138;Samstagern;Biogene Abfälle;Wärme;6238.08;MWh
2022;Volketswil;199;Volketswil;Biogene Abfälle;Wärme;11241.54;MWh
2022;Winterthur;230;Winterthur;Biogene Abfälle;Wärme;12058.92;MWh
2022;Zürich;261;Zürich;Biogene Abfälle;Wärme;16887.96;MWh
2022;Küsnacht (ZH);154;Küsnacht BEZAG;Biogene Abfälle;Wärme;2201.34;MWh
2022;Dällikon;84;Dällikon;Biogene Abfälle;Wärme;3369.612;MWh
2022;Dietlikon;54;Dietlikon;Biogene Abfälle;Wärme;476.52;MWh
2022;Lindau;176;Lindau;Biogene Abfälle;Wärme;6775.02;MWh
2022;Marthalen;35;Marthalen;Biogene Abfälle;Wärme;2206.926;MWh
2022;Affoltern am Albis;1;Affoltern, Zwillikon;Biogene Abfälle;Wärme;1118.112;MWh
2022;Volketswil;199;Gutenswil;Biogene Abfälle;Wärme;665.418;MWh
2022;Wädenswil;293;Wädenswil;Biogene Abfälle;Wärme;1352.268;MWh
