"jahr";"anlage";"ort";"bfsnr";"rubrik";"thema";"wert";"einheit";"betrieb"
"2024";"g0096";"Dübendorf";"191";"Oberflächengewässer";"Kälte";"1440,000";"kW";"Ja"
"2024";"g0128";"Dübendorf";"191";"Oberflächengewässer";"Wärme";"250,000";"kW";"Ja"
"2024";"g0128";"Dübendorf";"191";"Oberflächengewässer";"Kälte";"250,000";"kW";"Ja"
"2024";"g0139";"Dübendorf";"191";"Oberflächengewässer";"Wärme";"573,000";"kW";"Ja"
"2024";"g0139";"Dübendorf";"191";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2024";"g0140";"Dübendorf";"191";"Oberflächengewässer";"Wärme";"602,000";"kW";"Nein"
"2024";"g0140";"Dübendorf";"191";"Oberflächengewässer";"Kälte";"0,000";"kW";"Nein"
"2024";"h0123";"Pfäffikon";"177";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2024";"h0123";"Pfäffikon";"177";"Oberflächengewässer";"Kälte";"80,000";"kW";"Ja"
"2024";"h0160";"Pfäffikon";"177";"Oberflächengewässer";"Wärme";"279,000";"kW";"Ja"
"2024";"h0160";"Pfäffikon";"177";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2024";"h0165";"Pfäffikon";"177";"Oberflächengewässer";"Wärme";"230,000";"kW";"Ja"
"2024";"h0165";"Pfäffikon";"177";"Oberflächengewässer";"Kälte";"2500,000";"kW";"Ja"
"2024";"h0166";"Pfäffikon";"177";"Oberflächengewässer";"Wärme";"187,200";"kW";"Ja"
"2024";"h0166";"Pfäffikon";"177";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2024";"h0167";"Pfäffikon";"177";"Oberflächengewässer";"Wärme";"680,000";"kW";"Ja"
"2024";"h0167";"Pfäffikon";"177";"Oberflächengewässer";"Kälte";"400,000";"kW";"Ja"
"2024";"h0170";"Fehraltorf";"172";"Oberflächengewässer";"Wärme";"0,000";"kW";"Nein"
"2024";"h0170";"Fehraltorf";"172";"Oberflächengewässer";"Kälte";"0,000";"kW";"Nein"
"2024";"h0352";"Pfäffikon";"177";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2024";"h0352";"Pfäffikon";"177";"Oberflächengewässer";"Kälte";"743,000";"kW";"Ja"
"2024";"k0087";"Rheinau";"38";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2024";"k0087";"Rheinau";"38";"Oberflächengewässer";"Kälte";"1500,000";"kW";"Ja"
"2024";"k0116";"Flurlingen";"29";"Oberflächengewässer";"Wärme";"11,802";"kW";"Ja"
"2024";"k0116";"Flurlingen";"29";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2024";"k0219";"Flaach";"28";"Oberflächengewässer";"Wärme";"54,000";"kW";"Ja"
"2024";"k0219";"Flaach";"28";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2024";"l0152";"Bülach";"59";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2024";"l0152";"Bülach";"59";"Oberflächengewässer";"Kälte";"1320,000";"kW";"Ja"
"2024";"l0211";"Glattfelden";"58";"Oberflächengewässer";"Wärme";"490,000";"kW";"Ja"
"2024";"l0211";"Glattfelden";"58";"Oberflächengewässer";"Kälte";"249,000";"kW";"Ja"
"2024";"n0135";"Dietikon";"243";"Oberflächengewässer";"Wärme";"360,000";"kW";"Ja"
"2024";"n0135";"Dietikon";"243";"Oberflächengewässer";"Kälte";"0,000";"kW";"Ja"
"2004";"b0098";"Zürich";"261";"Oberflächengewässer";"Wärme";"0,000";"kW";"Ja"
"2004";"b0102";"Zürich";"261";"Oberflächengewässer";"Wärme";"260,000";"kW";"Ja"
"2004";"b0116";"Zürich";"261";"Oberflächengewässer";"Wärme";"100,000";"kW";"Ja"
