"jahr";"bfsnr";"ort";"rubrik";"thema";"wert";"einheit"
2022;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2022;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
2023;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";14;"kW"
2023;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"kW"
2023;1;"Aeugst am Albis";"Grundwasser WP";"Wärme";25.2;"MWh"
2023;1;"Aeugst am Albis";"Grundwasser WP";"Kälte";0;"MWh"
2023;1;"Aeugst am Albis";"Grundwasser WP";"Anzahl";1;"Anzahl"
1981;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
1981;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
1981;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1981;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1981;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1982;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
1982;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
1982;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1982;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1982;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1983;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
1983;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
1983;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1983;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1983;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1984;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
1984;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
1984;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1984;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1984;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1985;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
1985;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
1985;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1985;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1985;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1986;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
1986;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
1986;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1986;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1986;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1987;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
1987;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
1987;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1987;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1987;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1988;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
1988;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
1988;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1988;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1988;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1989;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
1989;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
1989;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1989;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1989;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1990;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
1990;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
1990;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1990;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1990;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1991;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
1991;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
1991;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1991;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1991;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1992;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
1992;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
1992;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
1992;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"MWh"
1992;2;"Affoltern am Albis";"Grundwasser WP";"Anzahl";0;"Anzahl"
1993;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"kW"
1993;2;"Affoltern am Albis";"Grundwasser WP";"Kälte";0;"kW"
1993;2;"Affoltern am Albis";"Grundwasser WP";"Wärme";0;"MWh"
