"jahr";"ort";"rubrik";"thema";"subthema";"wert";"einheit"
1997;"Schweiz";"Umweltwärme";"SoleWasserWP";"Energie";373.1237218715802;"GWh"
1997;"Schweiz";"Umweltwärme";"WasserWasserWP";"Energie";290.01235423579;"GWh"
1997;"Kanton";"Umweltwärme";"SoleWasserWP";"Anzahl";2195;"Anzahl"
1997;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";154.08;"MWh"
1997;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";85.6;"kW"
1997;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";38602.98;"MWh"
1997;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";21446.1;"kW"
1997;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (GP)";2835.2987715788017;"Anzahl"
1997;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";27702.09612080006;"kW"
1997;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";110.57019355223025;"kW"
1997;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";49863.773017440115;"MWh"
1997;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";199.0263483940145;"MWh"
1997;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (BFE)";4771.14529051766;"Anzahl"
1997;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";46616.15444873385;"kW"
1997;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";186.06379811768187;"kW"
1997;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";83909.07800772093;"MWh"
1997;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";334.9148366118274;"MWh"
1998;"Schweiz";"Umweltwärme";"LuftWasserWP";"Anzahl";35021.88752171186;"Anzahl"
1998;"Schweiz";"Umweltwärme";"LuftLuftWP";"Anzahl";472;"Anzahl"
1998;"Schweiz";"Umweltwärme";"SoleWasserWP";"Anzahl";17203.193761469305;"Anzahl"
1998;"Schweiz";"Umweltwärme";"WasserWasserWP";"Anzahl";4356.244659561871;"Anzahl"
1998;"Schweiz";"Umweltwärme";"LuftWasserWP";"Energie";496.00758612791907;"GWh"
1998;"Schweiz";"Umweltwärme";"LuftLuftWP";"Energie";0.39474093953190587;"GWh"
1998;"Schweiz";"Umweltwärme";"SoleWasserWP";"Energie";405.98656596349167;"GWh"
1998;"Schweiz";"Umweltwärme";"WasserWasserWP";"Energie";288.26832950712094;"GWh"
1998;"Kanton";"Umweltwärme";"SoleWasserWP";"Anzahl";2664;"Anzahl"
1998;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";1084.86;"MWh"
1998;"Kanton";"Umweltwärme";"SoleWasserWP";"Kälte";602.7;"kW"
1998;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";47703.96;"MWh"
1998;"Kanton";"Umweltwärme";"SoleWasserWP";"Wärme";26502.2;"kW"
1998;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (GP)";3441.1097619525867;"Anzahl"
1998;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";34233.100275232675;"kW"
1998;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";778.5123324057147;"kW"
1998;"Kanton";"Umweltwärme";"LuftWP";"Wärme (GP)";61619.580495418806;"MWh"
1998;"Kanton";"Umweltwärme";"LuftWP";"Kälte (GP)";1401.3221983302863;"MWh"
1998;"Kanton";"Umweltwärme";"LuftWP";"Anzahl (BFE)";5496.404776281756;"Anzahl"
1998;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";54679.736734975355;"kW"
1998;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";1243.4996841835641;"kW"
1998;"Kanton";"Umweltwärme";"LuftWP";"Wärme (BFE)";98423.52612295563;"MWh"
1998;"Kanton";"Umweltwärme";"LuftWP";"Kälte (BFE)";2238.299431530415;"MWh"
