"jahr";"rubrik";"thema";"wert";"einheit";"ort";"bfsnr"
"2018";"Wärme";"ARA";"42586";"MWh";"Zürich (Werdhölzli)";"261"
"2019";"Wärme";"ARA";"1138";"MWh";"Adliswil (Grütpark)";"131"
"2019";"Wärme";"ARA";"1405";"MWh";"Bassersdorf (Eich)";"52"
"2019";"Wärme";"ARA";"700";"MWh";"Bülach";"53"
"2019";"Wärme";"ARA";"6042";"MWh";"Dietikon (Limmatfeld)";"243"
"2019";"Wärme";"ARA";"7800";"MWh";"Dübendorf (Neugut)";"191"
"2019";"Wärme";"ARA";"1324";"MWh";"Effretikon (Mannenberg)";"296"
"2019";"Wärme";"ARA";"715";"MWh";"Egg (Oetwil Esslingen)";"192"
"2019";"Wärme";"ARA";"100";"MWh";"Fehraltorf (Russikon)";"172"
"2019";"Wärme";"ARA";"300";"MWh";"Gossau (Grüningen)";"115"
"2019";"Wärme";"ARA";"2039";"MWh";"Horgen (Oberrieden)";"295"
"2019";"Wärme";"ARA";"270";"MWh";"Knonau";"7"
"2019";"Wärme";"ARA";"1500";"MWh";"Küsnacht (Erlenbach)";"154"
"2019";"Wärme";"ARA";"953";"MWh";"Meilen";"156"
"2019";"Wärme";"ARA";"937";"MWh";"Männedorf (Bluemax)";"155"
"2019";"Wärme";"ARA";"683";"MWh";"Mönchaltorf";"196"
"2019";"Wärme";"ARA";"1470";"MWh";"Regensdorf (Wüeri)";"96"
"2019";"Wärme";"ARA";"2071";"MWh";"Thalwil";"141"
"2019";"Wärme";"ARA";"2745";"MWh";"Uster";"198"
"2019";"Wärme";"ARA";"400";"MWh";"Winterthur (Hard)";"230"
"2019";"Wärme";"ARA";"700";"MWh";"Wädenswil (Rietliau)";"293"
"2019";"Wärme";"ARA";"46754";"MWh";"Zürich (Werdhölzli)";"261"
"2020";"Wärme";"ARA";"1123";"MWh";"Adliswil (Grütpark)";"131"
"2020";"Wärme";"ARA";"1186";"MWh";"Bassersdorf (Eich)";"52"
"2020";"Wärme";"ARA";"700";"MWh";"Bülach";"53"
"2020";"Wärme";"ARA";"6172";"MWh";"Dietikon (Limmatfeld)";"243"
"2020";"Wärme";"ARA";"7800";"MWh";"Dübendorf (Neugut)";"191"
"2020";"Wärme";"ARA";"1399";"MWh";"Effretikon (Mannenberg)";"296"
"2020";"Wärme";"ARA";"715";"MWh";"Egg (Oetwil Esslingen)";"192"
"2020";"Wärme";"ARA";"100";"MWh";"Fehraltorf (Russikon)";"172"
"2020";"Wärme";"ARA";"300";"MWh";"Gossau (Grüningen)";"115"
"2020";"Wärme";"ARA";"2917";"MWh";"Horgen (Oberrieden)";"295"
"2020";"Wärme";"ARA";"270";"MWh";"Knonau";"7"
"2020";"Wärme";"ARA";"1500";"MWh";"Küsnacht (Erlenbach)";"154"
"2020";"Wärme";"ARA";"928";"MWh";"Meilen";"156"
"2020";"Wärme";"ARA";"952";"MWh";"Männedorf (Bluemax)";"155"
"2020";"Wärme";"ARA";"689";"MWh";"Mönchaltorf";"196"
"2020";"Wärme";"ARA";"1601";"MWh";"Regensdorf (Wüeri)";"96"
"2020";"Wärme";"ARA";"2002";"MWh";"Thalwil";"141"
"2020";"Wärme";"ARA";"4152";"MWh";"Uster";"198"
"2020";"Wärme";"ARA";"400";"MWh";"Winterthur (Hard)";"230"
"2020";"Wärme";"ARA";"700";"MWh";"Wädenswil (Rietliau)";"293"
"2020";"Wärme";"ARA";"49565";"MWh";"Zürich (Werdhölzli)";"261"
