"jahr";"bfsnr";"ort";"rubrik";"thema";"subthema";"wert";"einheit"
1984;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";0;"Anzahl"
1985;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";9;"kW"
1985;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1985;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";16.2;"MWh"
1985;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1985;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";1;"Anzahl"
1986;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";79.6;"kW"
1986;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1986;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";143.28;"MWh"
1986;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1986;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";10;"Anzahl"
1987;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";105.89999999999999;"kW"
1987;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1987;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";190.61999999999998;"MWh"
1987;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1987;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";12;"Anzahl"
1988;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";105.89999999999999;"kW"
1988;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1988;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";190.61999999999998;"MWh"
1988;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1988;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";12;"Anzahl"
1989;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";105.89999999999999;"kW"
1989;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1989;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";190.61999999999998;"MWh"
1989;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1989;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";12;"Anzahl"
1990;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";147.9;"kW"
1990;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1990;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";266.22;"MWh"
1990;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
1990;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Anzahl";17;"Anzahl"
1991;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";172.4;"kW"
1991;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"kW"
1991;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Wärme";310.32;"MWh"
1991;2;"Affoltern am Albis";"Umgebungswärme";"Sole_Wasser_WP";"Kälte";0;"MWh"
