bfsakt,gemakt,einheit,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
245,Oberengstringen,MWh,19416,19998,22226,22333,25602,26007,23307,25834,27431,29145,27133,25949,28318,29744,29952,30365,28724,29877,24113,13181,12547
246,Oetwil a.d.L,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,Schlieren,MWh,126421,121230,121000,112080,118570,120026,116972,97716,107428,114668,95594,109208,115837,117099,110545,116667,109515,125572,108501,109674,99775
248,Uitikon,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,Unterengstringen,MWh,6304,6047,6556,5245,6107,6750,5805,6816,6621,7271,6529,7143,8604,17464,17911,16677,15913,12873,14681,9261,11506
250,Urdorf,MWh,45914,45378,46911,39081,45863,46278,42389,45937,44001,47890,44820,45085,45548,47248,47307,48222,46768,54034,53940,43124,41066
251,Weiningen,MWh,13363,11818,12686,10655,13059,18291,12973,14372,14490,15723,14800,14223,16084,17435,16137,14878,14539,14607,15083,10295,9316
261,Zürich,MWh,2555124,2436271,2510265,2382972,2755379,2691408,2656636,2444751,2467982,2749579,2307406,2184358,2268543,2332824,2268400,2287332,2165611,2514507,2397974,1875841,1965872
291,Andelfingen,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,Stammheim,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Wädenswil,MWh,136603,135247,148000,121000,140960,136107,144370,140589,132191,144822,130449,129800,136426,143009,138308,134299,127448,142563,127064,114245,113030
294,Elgg,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,Horgen,MWh,96146,91353,95293,74018,86514,77343,78587,74676,47622,81011,71085,76215,79954,84728,82506,84413,76118,84470,79605,69419,65392
296,Illnau-Effretikon,MWh,37474,36710,39174,27913,36172,34226,33906,36288,36538,45487,42067,42284,43440,48020,51138,59277,57393,65001,61301,51058,49742
297,Bauma,MWh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
298,Wiesendangen,MWh,5200,5863,5600,4964,5720,6137,7002,6261,7076,7553,6483,7110,7431,7461,4131,8142,8004,8926,8774,7204,7152
