"jahr";"ort";"bfsnr";"rubrik";"thema";"wert";"einheit"
2025;"Bonstetten";3;"Strom";"PV";138;"Anzahl"
1990;"Hausen am Albis";4;"Strom";"PV";0;"kW"
1990;"Hausen am Albis";4;"Strom";"PV";0;"MWh"
1990;"Hausen am Albis";4;"Strom";"PV";0;"Anzahl"
1991;"Hausen am Albis";4;"Strom";"PV";0;"kW"
1991;"Hausen am Albis";4;"Strom";"PV";0;"MWh"
1991;"Hausen am Albis";4;"Strom";"PV";0;"Anzahl"
1992;"Hausen am Albis";4;"Strom";"PV";0;"kW"
1992;"Hausen am Albis";4;"Strom";"PV";0;"MWh"
1992;"Hausen am Albis";4;"Strom";"PV";0;"Anzahl"
1993;"Hausen am Albis";4;"Strom";"PV";0;"kW"
1993;"Hausen am Albis";4;"Strom";"PV";0;"MWh"
1993;"Hausen am Albis";4;"Strom";"PV";0;"Anzahl"
1994;"Hausen am Albis";4;"Strom";"PV";0;"kW"
1994;"Hausen am Albis";4;"Strom";"PV";0;"MWh"
1994;"Hausen am Albis";4;"Strom";"PV";0;"Anzahl"
1995;"Hausen am Albis";4;"Strom";"PV";0;"kW"
1995;"Hausen am Albis";4;"Strom";"PV";0;"MWh"
1995;"Hausen am Albis";4;"Strom";"PV";0;"Anzahl"
1996;"Hausen am Albis";4;"Strom";"PV";0;"kW"
1996;"Hausen am Albis";4;"Strom";"PV";0;"MWh"
1996;"Hausen am Albis";4;"Strom";"PV";0;"Anzahl"
1997;"Hausen am Albis";4;"Strom";"PV";0;"kW"
1997;"Hausen am Albis";4;"Strom";"PV";0;"MWh"
1997;"Hausen am Albis";4;"Strom";"PV";0;"Anzahl"
1998;"Hausen am Albis";4;"Strom";"PV";0;"kW"
1998;"Hausen am Albis";4;"Strom";"PV";0;"MWh"
1998;"Hausen am Albis";4;"Strom";"PV";0;"Anzahl"
1999;"Hausen am Albis";4;"Strom";"PV";0;"kW"
1999;"Hausen am Albis";4;"Strom";"PV";0;"MWh"
1999;"Hausen am Albis";4;"Strom";"PV";0;"Anzahl"
2000;"Hausen am Albis";4;"Strom";"PV";0;"kW"
2000;"Hausen am Albis";4;"Strom";"PV";0;"MWh"
2000;"Hausen am Albis";4;"Strom";"PV";0;"Anzahl"
2001;"Hausen am Albis";4;"Strom";"PV";0;"kW"
2001;"Hausen am Albis";4;"Strom";"PV";0;"MWh"
2001;"Hausen am Albis";4;"Strom";"PV";0;"Anzahl"
2002;"Hausen am Albis";4;"Strom";"PV";0;"kW"
2002;"Hausen am Albis";4;"Strom";"PV";0;"MWh"
2002;"Hausen am Albis";4;"Strom";"PV";0;"Anzahl"
2003;"Hausen am Albis";4;"Strom";"PV";0;"kW"
2003;"Hausen am Albis";4;"Strom";"PV";0;"MWh"
2003;"Hausen am Albis";4;"Strom";"PV";0;"Anzahl"
2004;"Hausen am Albis";4;"Strom";"PV";0;"kW"
2004;"Hausen am Albis";4;"Strom";"PV";0;"MWh"
