"Jahr","Rubrik","Energietraeger","TJ","Einheit","Einheit_lang","Ort"
2021,"Endverbrauch - Verkehr","Gas",740,"TJ","Terra Joule","Kanton ZH"
2022,"Endverbrauch - Verkehr","Gas",1000,"TJ","Terra Joule","Kanton ZH"
2023,"Endverbrauch - Verkehr","Gas",680,"TJ","Terra Joule","Kanton ZH"
1990,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",NA,"TJ","Terra Joule","Kanton ZH"
1991,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",NA,"TJ","Terra Joule","Kanton ZH"
1992,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",NA,"TJ","Terra Joule","Kanton ZH"
1993,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",NA,"TJ","Terra Joule","Kanton ZH"
1994,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",NA,"TJ","Terra Joule","Kanton ZH"
1995,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",NA,"TJ","Terra Joule","Kanton ZH"
1996,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",NA,"TJ","Terra Joule","Kanton ZH"
1997,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",60,"TJ","Terra Joule","Kanton ZH"
1998,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",60,"TJ","Terra Joule","Kanton ZH"
1999,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",60,"TJ","Terra Joule","Kanton ZH"
2000,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",70,"TJ","Terra Joule","Kanton ZH"
2001,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",70,"TJ","Terra Joule","Kanton ZH"
2002,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",70,"TJ","Terra Joule","Kanton ZH"
2003,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",90,"TJ","Terra Joule","Kanton ZH"
2004,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",130,"TJ","Terra Joule","Kanton ZH"
2005,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",260,"TJ","Terra Joule","Kanton ZH"
2006,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",350,"TJ","Terra Joule","Kanton ZH"
2007,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",470,"TJ","Terra Joule","Kanton ZH"
2008,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",510,"TJ","Terra Joule","Kanton ZH"
2009,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",360,"TJ","Terra Joule","Kanton ZH"
2010,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",430,"TJ","Terra Joule","Kanton ZH"
2011,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",450,"TJ","Terra Joule","Kanton ZH"
2012,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",520,"TJ","Terra Joule","Kanton ZH"
2013,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",480,"TJ","Terra Joule","Kanton ZH"
2014,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",870,"TJ","Terra Joule","Kanton ZH"
2015,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",2070,"TJ","Terra Joule","Kanton ZH"
2016,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",3560,"TJ","Terra Joule","Kanton ZH"
2017,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",5520,"TJ","Terra Joule","Kanton ZH"
2018,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",7520,"TJ","Terra Joule","Kanton ZH"
2019,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",7800,"TJ","Terra Joule","Kanton ZH"
2020,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",7260,"TJ","Terra Joule","Kanton ZH"
2021,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",6590,"TJ","Terra Joule","Kanton ZH"
2022,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",6730,"TJ","Terra Joule","Kanton ZH"
2023,"Endverbrauch - Verkehr","Uebrige erneuerbare Energien",7080,"TJ","Terra Joule","Kanton ZH"
