gbs_id,datum_verfuegung
b 00-10546,21.10.2010
b 00-10547,19.10.2010
b 00-10549,19.10.2010
b 00-10550,01.11.2010
b 00-10551,10.11.2010
b 00-10552,10.11.2010
b 00-10553,16.11.2010
b 00-10554,22.11.2010
b 00-10555,01.12.2010
b 00-10556,06.12.2010
b 00-10557,05.01.2011
b 00-10558,06.01.2011
b 00-10559,21.01.2011
b 00-10560,24.01.2011
b 00-10561,27.01.2011
b 00-10562,09.02.2011
b 00-10563,09.02.2011
b 00-10564,23.02.2011
b 00-10565,10.03.2011
b 00-10566,10.03.2011
b 00-10567,10.03.2011
b 00-10568,11.03.2011
b 00-10569,14.03.2011
b 00-10570,16.03.2011
b 00-10571,28.03.2011
b 00-10572,28.03.2011
b 00-10573,29.03.2011
b 00-10574,29.03.2011
b 00-10575,29.03.2011
b 00-10576,07.04.2011
b 00-10577,30.03.2011
b 00-10578,06.04.2011
b 00-10579,07.04.2011
b 00-10580,12.04.2011
b 00-10581,14.04.2011
b 00-10582,18.04.2011
b 00-10583,05.05.2011
b 00-10584,09.05.2011
b 00-10585,11.05.2011
b 00-10586,12.05.2011
b 00-10587,18.05.2011
b 00-10588,18.05.2011
b 00-10589,24.05.2011
b 00-10590,25.05.2011
b 00-10591,30.05.2011
b 00-10592,31.05.2011
b 00-10593,06.06.2011
b 00-10594,06.06.2011
b 00-10595,08.06.2011
b 00-10596,08.06.2011
b 00-10597,09.06.2011
b 00-10598,16.06.2011
b 00-10599,30.06.2011
b 00-10600,21.06.2011
b 00-10601,27.06.2011
b 00-10602,05.07.2011
b 00-10603,07.07.2011
b 00-10604,07.07.2011
b 00-10605,11.07.2011
b 00-10606,12.07.2011
b 00-10607,12.07.2011
b 00-10608,13.07.2011
b 00-10609,25.07.2011
b 00-10610,27.07.2011
b 00-10611,28.07.2011
b 00-10612,02.08.2011
b 00-10613,05.08.2011
b 00-10614,08.08.2011
b 00-10615,09.08.2011
b 00-10616,10.08.2011
b 00-10617,11.08.2011
b 00-10618,11.08.2011
b 00-10619,11.08.2011
b 00-10620,11.08.2011
b 00-10621,22.08.2011
b 00-10622,22.08.2011
b 00-10623,01.09.2011
b 00-10624,01.09.2011
b 00-10626,13.09.2011
b 00-10627,23.09.2011
b 00-10628,23.09.2011
b 00-10629,26.09.2011
b 00-10630,27.09.2011
b 00-10631,28.09.2011
b 00-10632,28.09.2011
b 00-10633,28.09.2011
b 00-10634,29.09.2011
b 00-10635,30.09.2011
b 00-10636,04.10.2011
b 00-10637,10.10.2011
b 00-10638,11.10.2011
b 00-10639,12.10.2011
b 00-10640,31.10.2011
b 00-10641,03.11.2011
b 00-10642,14.11.2011
b 00-10643,14.11.2011
b 00-10644,14.11.2011
b 00-10645,30.11.2011
b 00-10646,05.12.2011
b 00-10647,05.12.2011
b 00-10648,05.12.2011
b 00-10649,07.12.2011
b 00-10650,07.12.2011
b 00-10651,13.12.2011
b 00-10652,13.12.2011
b 00-10653,14.12.2011
b 00-10654,14.12.2011
b 00-10655,14.12.2011
b 00-10656,20.12.2011
b 00-10657,21.12.2011
b 00-10658,21.12.2011
b 00-10659,21.12.2011
b 00-10660,04.01.2012
b 00-10661,09.01.2012
b 00-10663,12.01.2012
b 00-10664,16.01.2012
b 00-10665,16.01.2012
b 00-10666,17.01.2012
b 00-10667,18.01.2012
b 00-10668,24.01.2012
b 00-10669,24.01.2012
b 00-10670,25.01.2012
b 00-10671,26.01.2012
b 00-10672,01.02.2012
b 00-10673,09.02.2012
b 00-10674,09.02.2012
b 00-10675,14.02.2012
b 00-10676,15.02.2012
b 00-10677,15.02.2012
b 00-10678,20.02.2012
b 00-10679,22.02.2012
b 00-10680,01.03.2012
b 00-10681,13.03.2012
b 00-10682,19.03.2012
b 00-10683,22.03.2012
b 00-10684,22.03.2012
b 00-10685,26.03.2012
b 00-10686,26.03.2012
b 00-10687,27.03.2012
b 00-10688,03.04.2012
b 00-10689,04.04.2012
b 00-10690,13.04.2012
b 00-10691,13.04.2012
b 00-10692,17.04.2012
b 00-10693,17.04.2012
b 00-10694,19.04.2012
b 00-10695,26.04.2012
b 00-10696,03.05.2012
